STEP,CURRENT LOCATION,ACTION BEING PERFORMED,INTERNAL CARGO,"STUDS LEFT [H, V]"
0,"[C,C]","[0, 0]","{[0,0] [0,0]}","[2, 4]"
1,"[T,T]","[MV_S,MV_S]","{[0,0] [0,0]}","[2, 4]"
2,"[S,S]","[MV_S,MV_S]","{[0,0] [0,0]}","[2,4]"
3,"[S,S]","[PCK_1H_1V,PCK_0H_1V]","{[1,1] [0,1]}","[2, 4]"
4,"[T,T]","[MV_B,MV_B]","{[1,1] [0,1]}","[2, 4]"
5,"[B,B]","[MV_B,MV_B]","{[1,1] [0,1]}","[2,4]"
6,"[B,B]","[IDL,BLD_H]","{[0,1] [0,1]}","[1,4]"
7,"[B,B]","[IDL,BLD_V]","{[0,0] [0,1]}","[1, 3]"
8,"[T,B]","[MV_S,BLD_V]","{[0,0] [0,0]}","[1,2]"
9,"[S,B]","[MV_S,IDL]","{[0,0] [0,0]}","[1, 2]"
10,"[S,B]","[PCK_0H_2V,IDL]","{[0,2] [0,0]}","[1, 2]"
11,"[T,B]","[MV_B,IDL]","{[0,2] [0,0]}","[1,2]"
12,"[B,B]","[MV_B,IDL]","{[0,2] [0,0]}","[1,2]"
13,"[B,B]","[IDL,BLD_V]","{[0,1] [0,0]}","[1,1]"
14,"[B,B]","[IDL,BLD_V]","{[0,0] [0,0]}","[1,0]"
15,"[T,B]","[MV_S,IDL]","{[0,0] [0,0]}","[1,0]"
16,"[S,B]","[MV_S,IDL]","{[0,0] [0,0]}","[1,0]"
17,"[S,B]","[PCK_1H_0V,IDL]","{[1,0] [0,0]}","[1,0]"
18,"[T,B]","[MV_B,IDL]","{[1,0] [0,0]}","[1,0]"
19,"[B,B]","[MV_B,IDL]","{[1,0] [0,0]}","[1,0]"
20,"[B,B]","[IDL,BLD_H]","{[0,0] [0,0]}","[0,0]"
21,"[T,T]","[MV_C,MV_C]","{[0,0] [0,0]}","[0,0]"
22,"[C,C]","[MV_C,MV_C]","{[0,0] [0,0]}","[0,0]"
23,"[C,C]","[IDL,IDL]","{[0,0] [0,0]}","[0,0]"
