STEP,CURRENT LOCATION,ACTION BEING PERFORMED,INTERNAL CARGO,"STUDS LEFT [H, V]",BATTERY (%)
0,"[C,C]","[0, 0]","{[0,0] [0,0]}","[2, 4]","[100,100]"
1,"[T,T]","[MV_S,MV_S]","{[0,0] [0,0]}","[2, 4]","[90,90]"
2,"[S,S]","[MV_S,MV_S]","{[0,0] [0,0]}","[2,4]","[80,80]"
3,"[S,S]","[PCK_1H_1V,PCK_0H_1V]","{[1,1] [0,1]}","[2, 4]","[70,70]"
4,"[T,T]","[MV_B,MV_B]","{[1,1] [0,1]}","[2, 4]","[60,60]"
5,"[B,B]","[MV_B,MV_B]","{[1,1] [0,1]}","[2,4]","[50,50]"
6,"[B,B]","[IDL,BLD_H]","{[0,1] [0,1]}","[1,4]","[50,40]"
7,"[B,B]","[IDL,BLD_V]","{[0,0] [0,1]}","[1, 3]","[50,30]"
8,"[T,B]","[MV_S,BLD_V]","{[0,0] [0,0]}","[1,2]","[40,20]"
9,"[S,T]","[MV_S,MV_C]","{[0,0] [0,0]}","[1, 2]","[30,10]"
10,"[S,C]","[PCK_2V,MV_C]","{[0,2] [0,0]}","[1, 2]","[20,0]"
11,"[T,C]","[MV_C,CHRG]","{[0,2] [0,0]}","[1, 2]","[10,50]"
12,"[C,C]","[MV_C,CHRG]","{[0,2] [0,0]}","[1, 2]","[0,100]"
13,"[C,T]","[CHRG,MV_S]","{[0,2] [0,0]}","[1, 2]","[50,90]"
14,"[C,S]","[CHRG,MV_S]","{[0,2] [0,0]}","[1, 2]","[100,80]"
15,"[T,S]","[MV_B,PCK_1V_0H]","{[0,2] [1,0]}","[1, 2]","[90,70]"
16,"[B,T]","[MV_B,MV_B]","{[0,2] [1,0]}","[1, 2]","[80,60]"
17,"[B,B]","[IDL,MV_B]","{[0,2] [1,0]}","[1, 2]","[80,50]"
18,"[B,B]","[IDL,BLD_V]","{[0,1] [1,0]}","[1, 1]","[80,40]"
19,"[B,B]","[IDL,BLD_V]","{[0,0] [1,0]}","[1, 0]","[80,30]"
20,"[B,B]","[IDL,BLD_H]","{[0,0] [0,0]}","[0, 0]","[80,20]"
21,"[T,T]","[MV_C,MV_C]","{[0,0] [0,0]}","[0, 0]","[70,10]"
22,"[C,C]","[MV_C,MV_C]","{[0,0] [0,0]}","[0, 0]","[60,0]"
